"GID","Breeding Cycle","Managed_Treatment","Grain_Yield_BLUE"
6936157,"2013-14","Moderate Drought",3.9222976809703
6936157,"2013-14","Optimal Bed",3.37755307942776
6936157,"2013-14","Heat",1.7391820949144
6936157,"2013-14","Severe Drought",2.75542839086565
6936157,"2013-14","Optimal Flat",5.61063224017197
6936162,"2013-14","Moderate Drought",3.87286999900019
6936162,"2013-14","Optimal Bed",5.3139120853511
6936162,"2013-14","Heat",1.5151392055369
6936162,"2013-14","Severe Drought",2.59719436880838
6936162,"2013-14","Optimal Flat",4.70503811981334
6936166,"2013-14","Moderate Drought",3.5497570221559
6936166,"2013-14","Optimal Bed",5.79293987570311
6936166,"2013-14","Heat",1.83158048570423
6936166,"2013-14","Severe Drought",1.89372790493682
6936166,"2013-14","Optimal Flat",4.99075706798308
6936221,"2013-14","Moderate Drought",3.90049761649825
6936221,"2013-14","Optimal Bed",6.05609347220501
6936221,"2013-14","Heat",2.38377809740237
6936221,"2013-14","Severe Drought",2.22078579900399
6936221,"2013-14","Optimal Flat",6.63382695555939
6936223,"2013-14","Moderate Drought",3.62592538208048
6936223,"2013-14","Optimal Bed",5.67377462414168
6936223,"2013-14","Heat",2.20342936856706
6936223,"2013-14","Severe Drought",1.98363943434597
6936223,"2013-14","Optimal Flat",5.47135437391431
6936226,"2013-14","Moderate Drought",3.81553916157535
6936226,"2013-14","Optimal Bed",5.91359335591021
6936226,"2013-14","Heat",2.24688950787187
6936226,"2013-14","Severe Drought",2.42913451359091
6936226,"2013-14","Optimal Flat",6.56678485626328
6936230,"2013-14","Moderate Drought",3.93923488949007
6936230,"2013-14","Optimal Bed",6.39888065032159
6936230,"2013-14","Heat",1.65585302588113
6936230,"2013-14","Severe Drought",2.18033360252299
6936230,"2013-14","Optimal Flat",6.06902795455336
6936240,"2013-14","Moderate Drought",3.81076111170228
6936240,"2013-14","Optimal Bed",6.21760951522766
6936240,"2013-14","Heat",1.83793514942298
6936240,"2013-14","Severe Drought",2.16367075656756
6936240,"2013-14","Optimal Flat",6.35011063856899
6936273,"2013-14","Moderate Drought",3.68600434581575
6936273,"2013-14","Optimal Bed",6.30127468981185
6936273,"2013-14","Heat",2.13963387214413
6936273,"2013-14","Severe Drought",2.40631347452845
6936273,"2013-14","Optimal Flat",5.15879670342215
6936286,"2013-14","Moderate Drought",3.35025215735524
6936286,"2013-14","Optimal Bed",5.62488455736659
6936286,"2013-14","Heat",2.50917364029987
6936286,"2013-14","Severe Drought",1.96127603479546
6936286,"2013-14","Optimal Flat",5.4169922259437
6936326,"2013-14","Moderate Drought",3.79820033473012
6936326,"2013-14","Optimal Bed",6.39836779235134
6936326,"2013-14","Heat",2.61708666332493
6936326,"2013-14","Severe Drought",2.10804182805217
6936326,"2013-14","Optimal Flat",6.74662126308958
6936336,"2013-14","Moderate Drought",3.90075678815723
6936336,"2013-14","Optimal Bed",5.29600965940448
6936336,"2013-14","Heat",2.0414131514663
6936336,"2013-14","Severe Drought",2.51759072124237
6936336,"2013-14","Optimal Flat",4.74840103557915
6936355,"2013-14","Moderate Drought",3.90784696485317
6936355,"2013-14","Optimal Bed",5.92677501578122
6936355,"2013-14","Heat",2.33913106095246
6936355,"2013-14","Severe Drought",2.39579768425564
6936355,"2013-14","Optimal Flat",6.04714417351647
6936362,"2013-14","Moderate Drought",3.85550241463012
6936362,"2013-14","Optimal Bed",5.91870130871615
6936362,"2013-14","Heat",2.40263547970322
6936362,"2013-14","Severe Drought",2.26493740862984
6936362,"2013-14","Optimal Flat",6.66987380514009
6936366,"2013-14","Moderate Drought",3.66056177796345
6936366,"2013-14","Optimal Bed",5.46036800538282
6936366,"2013-14","Heat",2.35948084303656
6936366,"2013-14","Severe Drought",2.23929640862984
6936366,"2013-14","Optimal Flat",5.44822216847342
6936367,"2013-14","Moderate Drought",3.65139899442931
6936367,"2013-14","Optimal Bed",5.73299686760526
6936367,"2013-14","Heat",2.44311911499407
6936367,"2013-14","Severe Drought",2.16206062309062
6936367,"2013-14","Optimal Flat",5.37517338162352
6936368,"2013-14","Moderate Drought",3.63622735119366
6936368,"2013-14","Optimal Bed",5.18532325903055
6936368,"2013-14","Heat",2.5831531352608
6936368,"2013-14","Severe Drought",2.24486616226546
6936368,"2013-14","Optimal Flat",5.38305000494446
6936371,"2013-14","Moderate Drought",3.7007146921302
6936371,"2013-14","Optimal Bed",5.35867304791986
6936371,"2013-14","Heat",2.63914825929143
6936371,"2013-14","Severe Drought",2.28268633226295
6936371,"2013-14","Optimal Flat",4.59125633141184
6936381,"2013-14","Moderate Drought",3.84291988195411
6936381,"2013-14","Optimal Bed",6.63295829905628
6936381,"2013-14","Heat",2.77566834790801
6936381,"2013-14","Severe Drought",2.57244881255504
6936381,"2013-14","Optimal Flat",6.33829040927894
6936383,"2013-14","Moderate Drought",3.10662738267721
6936383,"2013-14","Optimal Bed",5.72022570600402
6936383,"2013-14","Heat",2.44996529529305
6936383,"2013-14","Severe Drought",1.5709664552844
6936383,"2013-14","Optimal Flat",5.98874994855317
6936384,"2013-14","Moderate Drought",3.89701438051569
6936384,"2013-14","Optimal Bed",6.66673133868438
6936384,"2013-14","Heat",2.58552072914376
6936384,"2013-14","Severe Drought",2.28968886529297
6936384,"2013-14","Optimal Flat",6.23377981569149
6936392,"2013-14","Moderate Drought",3.71685321844188
6936392,"2013-14","Optimal Bed",5.63203582915762
6936392,"2013-14","Heat",2.29125692199497
6936392,"2013-14","Severe Drought",2.24160260132587
6936392,"2013-14","Optimal Flat",4.99538594923056
6936437,"2013-14","Moderate Drought",3.99541970015918
6936437,"2013-14","Optimal Bed",5.75841472996622
6936437,"2013-14","Heat",2.50750865383555
6936437,"2013-14","Severe Drought",2.40305363407892
6936437,"2013-14","Optimal Flat",5.64108098084544
6936438,"2013-14","Moderate Drought",3.8837032260446
6936438,"2013-14","Optimal Bed",5.48767437893303
6936438,"2013-14","Heat",2.56744135845085
6936438,"2013-14","Severe Drought",2.6169983922669
6936438,"2013-14","Optimal Flat",4.96919462721883
6936439,"2013-14","Moderate Drought",3.72759760704889
6936439,"2013-14","Optimal Bed",6.30583654483127
6936439,"2013-14","Heat",2.57017606120692
6936439,"2013-14","Severe Drought",1.96199734911088
6936439,"2013-14","Optimal Flat",5.73274470711973
6936440,"2013-14","Moderate Drought",3.81671394072812
6936440,"2013-14","Optimal Bed",6.05747439714092
6936440,"2013-14","Heat",2.57962360126255
6936440,"2013-14","Severe Drought",2.15040377003485
6936440,"2013-14","Optimal Flat",5.40582099387627
6936441,"2013-14","Moderate Drought",4.03407781918932
6936441,"2013-14","Optimal Bed",5.90516999314649
6936441,"2013-14","Heat",2.46426250338189
6936441,"2013-14","Severe Drought",2.34165143102161
6936441,"2013-14","Optimal Flat",5.42568307382107
6936457,"2013-14","Moderate Drought",3.53008516837641
6936457,"2013-14","Optimal Bed",5.34751425661262
6936457,"2013-14","Heat",2.37297246030256
6936457,"2013-14","Severe Drought",2.10861936860368
6936457,"2013-14","Optimal Flat",5.54206952441451
6936466,"2013-14","Moderate Drought",3.60348142210217
6936466,"2013-14","Optimal Bed",6.18787129639762
6936466,"2013-14","Heat",2.29305351138782
6936466,"2013-14","Severe Drought",2.00614413111364
6936466,"2013-14","Optimal Flat",5.8939409837964
6936467,"2013-14","Moderate Drought",3.69651604749347
6936467,"2013-14","Optimal Bed",4.89290993137032
6936467,"2013-14","Heat",2.08936690427268
6936467,"2013-14","Severe Drought",2.24670948898347
6936467,"2013-14","Optimal Flat",4.68532482273157
6936469,"2013-14","Moderate Drought",3.77432855114995
6936469,"2013-14","Optimal Bed",5.47979072025113
6936469,"2013-14","Heat",2.11793658992934
6936469,"2013-14","Severe Drought",2.44427247886751
6936469,"2013-14","Optimal Flat",4.81715594404471
6936474,"2013-14","Moderate Drought",3.90837512315402
6936474,"2013-14","Optimal Bed",5.3586182112688
6936474,"2013-14","Heat",2.13536002570099
6936474,"2013-14","Severe Drought",1.57932589864157
6936474,"2013-14","Optimal Flat",5.619602681157
6936475,"2013-14","Moderate Drought",3.71333649248576
6936475,"2013-14","Optimal Bed",5.28554495543339
6936475,"2013-14","Heat",2.14174380437379
6936475,"2013-14","Severe Drought",1.64783157396561
6936475,"2013-14","Optimal Flat",4.96917642488962
6936478,"2013-14","Moderate Drought",3.60375531272081
6936478,"2013-14","Optimal Bed",5.54288071869586
6936478,"2013-14","Heat",2.1486643853254
6936478,"2013-14","Severe Drought",1.92459440317298
6936478,"2013-14","Optimal Flat",5.09023239772153
6936485,"2013-14","Moderate Drought",3.52674681615977
6936485,"2013-14","Optimal Bed",5.33529625495887
6936485,"2013-14","Heat",2.09552854970172
6936485,"2013-14","Severe Drought",1.70144259643805
6936485,"2013-14","Optimal Flat",5.58822732116492
6936492,"2013-14","Moderate Drought",3.67249749314199
6936492,"2013-14","Optimal Bed",5.61757431466124
6936492,"2013-14","Heat",2.13984908063038
6936492,"2013-14","Severe Drought",1.95048578748304
6936492,"2013-14","Optimal Flat",6.39696060749784
6936493,"2013-14","Moderate Drought",3.34809272647532
6936493,"2013-14","Optimal Bed",5.42412201132791
6936493,"2013-14","Heat",2.14803311063038
6936493,"2013-14","Severe Drought",1.91971678748304
6936493,"2013-14","Optimal Flat",5.75878397083117
6936496,"2013-14","Moderate Drought",3.53374026395904
6936496,"2013-14","Optimal Bed",5.98320167325329
6936496,"2013-14","Heat",2.42201163589921
6936496,"2013-14","Severe Drought",2.00158929572081
6936496,"2013-14","Optimal Flat",5.70398545289751
6936523,"2013-14","Moderate Drought",3.88402611149952
6936523,"2013-14","Optimal Bed",5.58430114654912
6936523,"2013-14","Heat",2.89666856442817
6936523,"2013-14","Severe Drought",2.83450185389205
6936523,"2013-14","Optimal Flat",4.8757578023661
6936526,"2013-14","Moderate Drought",3.32804298554512
6936526,"2013-14","Optimal Bed",5.56271219453352
6936526,"2013-14","Heat",2.45975155006872
6936526,"2013-14","Severe Drought",2.57031451220778
6936526,"2013-14","Optimal Flat",5.77045441115666
6936529,"2013-14","Moderate Drought",3.94243881803795
6936529,"2013-14","Optimal Bed",5.37821966206267
6936529,"2013-14","Heat",2.42434794908958
6936529,"2013-14","Severe Drought",2.57493192319295
6936529,"2013-14","Optimal Flat",6.16136033144634
6936530,"2013-14","Moderate Drought",4.01706751240363
6936530,"2013-14","Optimal Bed",5.75352242495393
6936530,"2013-14","Heat",2.83213851500722
6936530,"2013-14","Severe Drought",2.7375821526652
6936530,"2013-14","Optimal Flat",5.22703814478809
6936532,"2013-14","Moderate Drought",4.09028574353137
6936532,"2013-14","Optimal Bed",5.39688524620467
6936532,"2013-14","Heat",2.3146287762978
6936532,"2013-14","Severe Drought",2.70079327607482
6936532,"2013-14","Optimal Flat",5.21746229326599
6936533,"2013-14","Moderate Drought",3.66687595468073
6936533,"2013-14","Optimal Bed",5.77385548790878
6936533,"2013-14","Heat",2.59763468144026
6936533,"2013-14","Severe Drought",2.77215604404526
6936533,"2013-14","Optimal Flat",5.52328842190137
6936536,"2013-14","Moderate Drought",3.69767035924132
6936536,"2013-14","Optimal Bed",5.6021304951944
6936536,"2013-14","Heat",2.76331092434264
6936536,"2013-14","Severe Drought",2.55036299936912
6936536,"2013-14","Optimal Flat",4.50231620828088
6936537,"2013-14","Moderate Drought",2.91035031478753
6936537,"2013-14","Optimal Bed",5.56692513001814
6936537,"2013-14","Heat",2.17092434371994
6936537,"2013-14","Severe Drought",2.2867846092202
6936537,"2013-14","Optimal Flat",5.04409700312456
6936538,"2013-14","Moderate Drought",3.20648245862669
6936538,"2013-14","Optimal Bed",5.50111706438605
6936538,"2013-14","Heat",2.56830404113387
6936538,"2013-14","Severe Drought",1.42230470445628
6936538,"2013-14","Optimal Flat",5.06748600895857
6936542,"2013-14","Moderate Drought",3.76571457369242
6936542,"2013-14","Optimal Bed",5.85728964455054
6936542,"2013-14","Heat",2.41560395400419
6936542,"2013-14","Severe Drought",2.48496514204215
6936542,"2013-14","Optimal Flat",5.78972745182678
6936543,"2013-14","Moderate Drought",3.75691993971953
6936543,"2013-14","Optimal Bed",5.71673790347079
6936543,"2013-14","Heat",2.19570740387723
6936543,"2013-14","Severe Drought",2.44767942116581
6936543,"2013-14","Optimal Flat",6.09803627961367
6936544,"2013-14","Moderate Drought",3.89350461616117
6936544,"2013-14","Optimal Bed",5.68405788219515
6936544,"2013-14","Heat",2.27817278110189
6936544,"2013-14","Severe Drought",2.43194242743491
6936544,"2013-14","Optimal Flat",6.19589294627851
6936559,"2013-14","Moderate Drought",4.10521649575459
6936559,"2013-14","Optimal Bed",6.32953957518714
6936559,"2013-14","Heat",2.23506612570054
6936559,"2013-14","Severe Drought",2.39632296950664
6936559,"2013-14","Optimal Flat",5.29521664572767
6936572,"2013-14","Moderate Drought",3.54709095103661
6936572,"2013-14","Optimal Bed",6.68826007542419
6936572,"2013-14","Heat",2.32376600809389
6936572,"2013-14","Severe Drought",2.09527488500856
6936572,"2013-14","Optimal Flat",5.81648441220983
6936575,"2013-14","Moderate Drought",3.45245258665613
6936575,"2013-14","Optimal Bed",6.25076989589778
6936575,"2013-14","Heat",2.01524684210367
6936575,"2013-14","Severe Drought",1.65015595657191
6936575,"2013-14","Optimal Flat",5.01221943538872
6936589,"2013-14","Moderate Drought",3.2331731824458
6936589,"2013-14","Optimal Bed",5.90770590340321
6936589,"2013-14","Heat",2.19568833066824
6936589,"2013-14","Severe Drought",1.72064527900599
6936589,"2013-14","Optimal Flat",4.64742844578885
6936595,"2013-14","Moderate Drought",3.3752861824458
6936595,"2013-14","Optimal Bed",6.22094993340321
6936595,"2013-14","Heat",2.36681969400158
6936595,"2013-14","Severe Drought",1.59372217900599
6936595,"2013-14","Optimal Flat",5.31751380912218
6936614,"2013-14","Moderate Drought",3.28401495281993
6936614,"2013-14","Optimal Bed",5.34202578965809
6936614,"2013-14","Heat",2.26348161962323
6936614,"2013-14","Severe Drought",1.40591212719489
6936614,"2013-14","Optimal Flat",5.25570017725221
6936618,"2013-14","Moderate Drought",3.3563052316041
6936618,"2013-14","Optimal Bed",6.11040863985222
6936618,"2013-14","Heat",1.58707116775658
6936618,"2013-14","Severe Drought",1.01590376773812
6936618,"2013-14","Optimal Flat",4.77334873071391
6936686,"2013-14","Moderate Drought",3.75875176329122
6936686,"2013-14","Optimal Bed",5.68957538380851
6936686,"2013-14","Heat",2.15648006635607
6936686,"2013-14","Severe Drought",2.26391488377267
6936686,"2013-14","Optimal Flat",6.37203194488375
6936696,"2013-14","Moderate Drought",3.71550819503098
6936696,"2013-14","Optimal Bed",6.30705165042069
6936696,"2013-14","Heat",2.60730333965826
6936696,"2013-14","Severe Drought",2.22626054356064
6936696,"2013-14","Optimal Flat",6.52641455964559
6936770,"2013-14","Moderate Drought",3.28073316928615
6936770,"2013-14","Optimal Bed",5.55748005164113
6936770,"2013-14","Heat",2.24816620432641
6936770,"2013-14","Severe Drought",2.0206932121847
6936770,"2013-14","Optimal Flat",5.82143664520597
6936788,"2013-14","Moderate Drought",3.45283156377377
6936788,"2013-14","Optimal Bed",6.12420688644913
6936788,"2013-14","Heat",1.46715067038709
6936788,"2013-14","Severe Drought",2.20734957366304
6936788,"2013-14","Optimal Flat",6.38515551451555
6936792,"2013-14","Moderate Drought",3.57218391464216
6936792,"2013-14","Optimal Bed",5.81344038045646
6936792,"2013-14","Heat",1.58087339215827
6936792,"2013-14","Severe Drought",2.29454447664102
6936792,"2013-14","Optimal Flat",6.32442847598507
6936795,"2013-14","Moderate Drought",3.7627055109041
6936795,"2013-14","Optimal Bed",5.82962352698434
6936795,"2013-14","Heat",1.34597950304453
6936795,"2013-14","Severe Drought",2.65429104938628
6936795,"2013-14","Optimal Flat",6.24907746006005
6936812,"2013-14","Moderate Drought",4.00384375776049
6936812,"2013-14","Optimal Bed",5.76081781566214
6936812,"2013-14","Heat",2.55198780993899
6936812,"2013-14","Severe Drought",2.59039417911625
6936812,"2013-14","Optimal Flat",6.44757445367742
6936881,"2013-14","Moderate Drought",3.68063581248415
6936881,"2013-14","Optimal Bed",6.23436986239143
6936881,"2013-14","Heat",2.47586892812598
6936881,"2013-14","Severe Drought",2.39378305751482
6936881,"2013-14","Optimal Flat",6.35036746951423
6936896,"2013-14","Moderate Drought",3.64803992001447
6936896,"2013-14","Optimal Bed",6.33008335626218
6936896,"2013-14","Heat",2.30099030957521
6936896,"2013-14","Severe Drought",2.85445398666195
6936896,"2013-14","Optimal Flat",6.04044469807265
6936903,"2013-14","Moderate Drought",3.47922784216697
6936903,"2013-14","Optimal Bed",5.98119537834513
6936903,"2013-14","Heat",1.69188001194827
6936903,"2013-14","Severe Drought",1.98130044382169
6936903,"2013-14","Optimal Flat",5.85653503176023
6936921,"2013-14","Moderate Drought",3.62516599087991
6936921,"2013-14","Optimal Bed",6.28611533383632
6936921,"2013-14","Heat",1.81977734125735
6936921,"2013-14","Severe Drought",1.73959800682761
6936921,"2013-14","Optimal Flat",6.34364291358231
6936933,"2013-14","Moderate Drought",3.60503017564826
6936933,"2013-14","Optimal Bed",6.4237523227114
6936933,"2013-14","Heat",2.30831097577035
6936933,"2013-14","Severe Drought",2.21028737634647
6936933,"2013-14","Optimal Flat",6.15523812417746
6936939,"2013-14","Moderate Drought",3.69862653390745
6936939,"2013-14","Optimal Bed",6.17199246022913
6936939,"2013-14","Heat",1.42484989930175
6936939,"2013-14","Severe Drought",2.07482737122319
6936939,"2013-14","Optimal Flat",6.02015264140957
6936969,"2013-14","Moderate Drought",3.50368556390745
6936969,"2013-14","Optimal Bed",5.55815349022913
6936969,"2013-14","Heat",1.87202226263508
6936969,"2013-14","Severe Drought",2.47546806788985
6936969,"2013-14","Optimal Flat",6.37228967140957
6936974,"2013-14","Moderate Drought",3.33646531982402
6936974,"2013-14","Optimal Bed",6.37041665885319
6936974,"2013-14","Heat",2.68381190405171
6936974,"2013-14","Severe Drought",2.45827529425932
6936974,"2013-14","Optimal Flat",6.48851216522304
6937034,"2013-14","Moderate Drought",3.39354589428808
6937034,"2013-14","Optimal Bed",5.14205045488415
6937034,"2013-14","Heat",2.16390503759871
6937034,"2013-14","Severe Drought",2.2584574798156
6937034,"2013-14","Optimal Flat",7.08105682473835
6937035,"2013-14","Moderate Drought",4.16433020790987
6937035,"2013-14","Optimal Bed",6.11449408112685
6937035,"2013-14","Heat",2.53814506157582
6937035,"2013-14","Severe Drought",2.48122585840651
6937035,"2013-14","Optimal Flat",6.47591919243949
6937070,"2013-14","Moderate Drought",4.14097427896879
6937070,"2013-14","Optimal Bed",5.43282858190563
6937070,"2013-14","Heat",2.2466576191691
6937070,"2013-14","Severe Drought",2.41923678672028
6937070,"2013-14","Optimal Flat",5.43578170830937
6937088,"2013-14","Moderate Drought",3.89935477973444
6937088,"2013-14","Optimal Bed",6.69033643325553
6937088,"2013-14","Heat",2.43711739975041
6937088,"2013-14","Severe Drought",2.58165587771899
6937088,"2013-14","Optimal Flat",6.83603230622057
6937090,"2013-14","Moderate Drought",3.61045111709814
6937090,"2013-14","Optimal Bed",6.84785963571509
6937090,"2013-14","Heat",2.49440471402688
6937090,"2013-14","Severe Drought",2.60398624947776
6937090,"2013-14","Optimal Flat",6.71830333958757
6937092,"2013-14","Moderate Drought",3.72165052698984
6937092,"2013-14","Optimal Bed",6.75741659067608
6937092,"2013-14","Heat",2.67591480165188
6937092,"2013-14","Severe Drought",2.6622545745102
6937092,"2013-14","Optimal Flat",7.37432420324822
6937136,"2013-14","Moderate Drought",3.9089828125421
6937136,"2013-14","Optimal Bed",5.56144693780072
6937136,"2013-14","Heat",2.34658513760745
6937136,"2013-14","Severe Drought",2.30521611551623
6937136,"2013-14","Optimal Flat",6.27804089840231
6937555,"2013-14","Moderate Drought",4.03560824518794
6937555,"2013-14","Optimal Bed",6.84294926601535
6937555,"2013-14","Heat",2.61108411308839
6937555,"2013-14","Severe Drought",2.69126722695986
6937555,"2013-14","Optimal Flat",6.85657102583199
6937556,"2013-14","Moderate Drought",3.73567623204414
6937556,"2013-14","Optimal Bed",5.95770383413632
6937556,"2013-14","Heat",2.66659751812702
6937556,"2013-14","Severe Drought",2.37704302557926
6937556,"2013-14","Optimal Flat",5.95131781817895
6937557,"2013-14","Moderate Drought",4.02940885861276
6937557,"2013-14","Optimal Bed",6.42048022311108
6937557,"2013-14","Heat",2.35265514496806
6937557,"2013-14","Severe Drought",2.41359582421873
6937557,"2013-14","Optimal Flat",6.56453475057274
6937565,"2013-14","Moderate Drought",4.01017258835069
6937565,"2013-14","Optimal Bed",6.20270101534176
6937565,"2013-14","Heat",2.44147319218481
6937565,"2013-14","Severe Drought",2.01769565919954
6937565,"2013-14","Optimal Flat",6.18735956738307
6937591,"2013-14","Moderate Drought",3.8081667545739
6937591,"2013-14","Optimal Bed",6.85776834793647
6937591,"2013-14","Heat",2.79882985401789
6937591,"2013-14","Severe Drought",1.86742176054835
6937591,"2013-14","Optimal Flat",6.24147219152465
6937596,"2013-14","Moderate Drought",3.87872099402448
6937596,"2013-14","Optimal Bed",5.97680863609655
6937596,"2013-14","Heat",2.2088889672247
6937596,"2013-14","Severe Drought",2.4561646564991
6937596,"2013-14","Optimal Flat",6.77784467886836
6937638,"2013-14","Moderate Drought",2.9715933203957
6937638,"2013-14","Optimal Bed",5.14059106085071
6937638,"2013-14","Heat",2.55855757987368
6937638,"2013-14","Severe Drought",1.82682873641767
6937638,"2013-14","Optimal Flat",6.22931158326376
6937679,"2013-14","Moderate Drought",3.37206844729882
6937679,"2013-14","Optimal Bed",6.08140394971902
6937679,"2013-14","Heat",2.14319314453598
6937679,"2013-14","Severe Drought",2.24911424746712
6937679,"2013-14","Optimal Flat",6.50722880382992
6937680,"2013-14","Moderate Drought",3.25552189746754
6937680,"2013-14","Optimal Bed",5.55896054152541
6937680,"2013-14","Heat",2.37486826177385
6937680,"2013-14","Severe Drought",2.31130636868915
6937680,"2013-14","Optimal Flat",6.50790225298352
6937748,"2013-14","Moderate Drought",3.65156572327621
6937748,"2013-14","Optimal Bed",5.6373915451907
6937748,"2013-14","Heat",2.5838334252145
6937748,"2013-14","Severe Drought",2.0402875717043
6937748,"2013-14","Optimal Flat",6.18004221115207
6937749,"2013-14","Moderate Drought",3.31394142359518
6937749,"2013-14","Optimal Bed",5.81009854671978
6937749,"2013-14","Heat",1.42087912001769
6937749,"2013-14","Severe Drought",1.66909161234232
6937749,"2013-14","Optimal Flat",6.21050445087273
6937750,"2013-14","Moderate Drought",3.49867866068048
6937750,"2013-14","Optimal Bed",5.63087097730136
6937750,"2013-14","Heat",1.86028136395209
6937750,"2013-14","Severe Drought",1.76562792161741
6937750,"2013-14","Optimal Flat",6.159907720657
6937754,"2013-14","Moderate Drought",3.73718770353259
6937754,"2013-14","Optimal Bed",5.76409842782543
6937754,"2013-14","Heat",2.16065873949298
6937754,"2013-14","Severe Drought",1.63639135381859
6937754,"2013-14","Optimal Flat",6.12597123796129
6937810,"2013-14","Moderate Drought",3.80430321681395
6937810,"2013-14","Optimal Bed",6.00219490068858
6937810,"2013-14","Heat",2.70207964173621
6937810,"2013-14","Severe Drought",2.22490876172859
6937810,"2013-14","Optimal Flat",6.46683430053249
6937939,"2013-14","Moderate Drought",3.37671313073685
6937939,"2013-14","Optimal Bed",6.13250873109761
6937939,"2013-14","Heat",1.72636515326274
6937939,"2013-14","Severe Drought",1.12213633024009
6937939,"2013-14","Optimal Flat",6.30328174103527
6937970,"2013-14","Moderate Drought",4.13270353111056
6937970,"2013-14","Optimal Bed",6.67034957909536
6937970,"2013-14","Heat",2.11351715156836
6937970,"2013-14","Severe Drought",2.17802667809143
6937970,"2013-14","Optimal Flat",7.07693413821204
6937974,"2013-14","Moderate Drought",4.21327150956743
6937974,"2013-14","Optimal Bed",6.7324740452181
6937974,"2013-14","Heat",2.39217179779388
6937974,"2013-14","Severe Drought",2.19053237044514
6937974,"2013-14","Optimal Flat",7.06683649867546
6938021,"2013-14","Moderate Drought",3.7269197553273
6938021,"2013-14","Optimal Bed",5.84120464277356
6938021,"2013-14","Heat",1.24591082160407
6938021,"2013-14","Severe Drought",1.55063172434146
6938021,"2013-14","Optimal Flat",6.4142093401609
6938022,"2013-14","Moderate Drought",3.89584666838892
6938022,"2013-14","Optimal Bed",5.54205787959799
6938022,"2013-14","Heat",1.12877825019849
6938022,"2013-14","Severe Drought",1.23635246917077
6938022,"2013-14","Optimal Flat",6.46707495742105
6938027,"2013-14","Moderate Drought",3.92876225177122
6938027,"2013-14","Optimal Bed",5.96440882835346
6938027,"2013-14","Heat",2.07476649216317
6938027,"2013-14","Severe Drought",1.69893088491841
6938027,"2013-14","Optimal Flat",6.2037471012977
6938054,"2013-14","Moderate Drought",4.15947959886934
6938054,"2013-14","Optimal Bed",5.60557081332436
6938054,"2013-14","Heat",2.39990718891134
6938054,"2013-14","Severe Drought",2.57952537466753
6938054,"2013-14","Optimal Flat",6.3702690206903
6938070,"2013-14","Moderate Drought",3.72505359006499
6938070,"2013-14","Optimal Bed",5.84017052540908
6938070,"2013-14","Heat",2.16376881664214
6938070,"2013-14","Severe Drought",2.40715451859062
6938070,"2013-14","Optimal Flat",6.28196490023232
6938072,"2013-14","Moderate Drought",4.06055380631505
6938072,"2013-14","Optimal Bed",5.0295961340813
6938072,"2013-14","Heat",2.01761871882323
6938072,"2013-14","Severe Drought",2.46615148524382
6938072,"2013-14","Optimal Flat",6.11404551184559
6938098,"2013-14","Moderate Drought",3.93643963364985
6938098,"2013-14","Optimal Bed",5.65789982763994
6938098,"2013-14","Heat",1.83941447129326
6938098,"2013-14","Severe Drought",2.52593749519832
6938098,"2013-14","Optimal Flat",5.72098011902303
6938099,"2013-14","Moderate Drought",3.94555777180446
6938099,"2013-14","Optimal Bed",6.05208502129294
6938099,"2013-14","Heat",1.69495062439612
6938099,"2013-14","Severe Drought",2.42444323518017
6938099,"2013-14","Optimal Flat",5.83950161037639
6938116,"2013-14","Moderate Drought",3.89502459729593
6938116,"2013-14","Optimal Bed",5.2222933578881
6938116,"2013-14","Heat",1.97200805835231
6938116,"2013-14","Severe Drought",2.1963054195135
6938116,"2013-14","Optimal Flat",5.67778688527757
6938124,"2013-14","Moderate Drought",3.77360172055133
6938124,"2013-14","Optimal Bed",5.4891890387445
6938124,"2013-14","Heat",1.64054120292772
6938124,"2013-14","Severe Drought",2.36419679176817
6938124,"2013-14","Optimal Flat",5.07430719025575
6938141,"2013-14","Moderate Drought",3.68468095260052
6938141,"2013-14","Optimal Bed",5.39198675158481
6938141,"2013-14","Heat",2.69031504718553
6938141,"2013-14","Severe Drought",2.27316705629442
6938141,"2013-14","Optimal Flat",5.91040850894806
6938142,"2013-14","Moderate Drought",3.81713874761616
6938142,"2013-14","Optimal Bed",5.85219701334225
6938142,"2013-14","Heat",2.97246584135806
6938142,"2013-14","Severe Drought",2.42539677657102
6938142,"2013-14","Optimal Flat",5.64470252717175
6938147,"2013-14","Moderate Drought",3.82966688944287
6938147,"2013-14","Optimal Bed",6.06940459651828
6938147,"2013-14","Heat",2.31133617657358
6938147,"2013-14","Severe Drought",2.10295250408259
6938147,"2013-14","Optimal Flat",6.54188219202206
6938149,"2013-14","Moderate Drought",4.01709183300454
6938149,"2013-14","Optimal Bed",6.56903686863734
6938149,"2013-14","Heat",2.26886175932641
6938149,"2013-14","Severe Drought",2.38675546808229
6938149,"2013-14","Optimal Flat",6.50674637390828
6938150,"2013-14","Moderate Drought",3.9330144996712
6938150,"2013-14","Optimal Bed",5.71859056530401
6938150,"2013-14","Heat",2.90576678932641
6938150,"2013-14","Severe Drought",2.44829413474896
6938150,"2013-14","Optimal Flat",6.37455240390828
6938152,"2013-14","Moderate Drought",4.09254513119599
6938152,"2013-14","Optimal Bed",6.35963080797797
6938152,"2013-14","Heat",2.3230146764266
